"","tytuly","rok","dlugosc","imieslow","sie","ze","iz"
"482","KoniecSListy","1672","22018","132","432","228","36"
"483","MakSRelBar_II","1672","3221","11","58","14","10"
"484","HugLacPrag","1673","24939","34","405","145","3"
"485","InwRuchGeb","1673","1014","0","1","0","0"
"486","KoniecSPun","1673","579","1","5","4","1"
"487","SlawWikt","1673","4130","5","71","31","1"
"488","ZdobChorGeb","1673","652","0","3","0","0"
"489","KochProznEp","1674","12112","29","223","18","16"
"490","KochProznLir","1674","10521","31","205","8","12"
"491","PotPocztaKarp","1674","4603","28","84","36","0"
"492","FredKon","1675","30403","129","515","144","40"
"493","HaurEk","1675","42880","168","633","38","5"
"494","MorszZWierszeWir_I","1675","33804","55","550","247","10"
"495","PotLibKuk_I","1675","3483","7","62","20","0"
"496","TrembPrzedWir_I","1675","665","2","15","13","1"
"497","ZaciagWir_II","1675","915","3","13","4","2"
"498","ZbierDruzBar_II","1675","3893","12","53","11","0"
"499","ZlObiecWir_II","1675","777","0","19","3","0"
"500","BarLNowBarI","1676","344","0","2","5","0"
"501","BarLZywBarI","1676","1120","1","23","4","0"
"502","PisMow_II","1676","24571","73","393","160","26"
"503","PotMuzaKarp","1676","8214","54","195","73","0"
"504","PotSielKuk_I","1676","4081","18","83","16","0"
"505","PotZmartKuk_I","1676","9066","44","177","85","2"
"506","CzartListy","1677","30164","125","379","1","0"
"507","InwMorszGeb","1677","1231","0","0","0","1"
"508","PotFrasz1Kuk_II","1677","54082","330","1158","475","0"
"509","PotFrasz2Kuk_II","1677","75232","532","1631","783","0"
"510","PotFrasz3Kuk_II","1677","37817","264","785","367","0"
"511","PotNabKuk_I","1677","3655","15","83","12","0"
"512","PotZabKuk_II","1677","4278","26","71","30","0"
"513","BillTDiar","1678","44482","195","622","136","269"
"514","KsOw","1678","34698","207","171","0","1"
"515","LaczZwier","1678","8215","18","185","67","7"
"516","RicKlokMon","1678","88850","294","1980","1064","66"
"517","GdacPan","1679","45179","71","902","380","60"
"518","GdacPrzyd","1680","16755","19","323","132","19"
"519","KrzywChlopBad","1680","1152","2","29","0","0"
"520","MorszZEmbWyb","1680","8909","5","137","56","4"
"521","MorszZWybor","1680","29012","42","519","247","9"
"522","PotPiesRKuk_I","1680","3863","11","53","21","3"
"523","PotZacKuk_I","1680","10952","79","267","109","0"
"524","WisCzar","1680","23268","85","356","158","57"
"525","CiekAbryz","1681","5241","13","135","50","4"
"526","GawTarcz","1681","3926","8","58","21","1"
"527","GdacKon","1681","9980","28","258","88","10"
"528","KsZyw","1681","18682","107","313","0","0"
