"","Source","Target","Weight"
"4","pound","4","0.00738844245855504"
"4","sum","4","0.00738844245855504"
"4","owe","4","0.00483346888171994"
"4","fiend","4","0.00483346888171994"
"4","courtezan","4","0.00454958292873827"
"4","ship","4","0.00454958292873827"
"4","doors","4","0.00426569697575659"
"4","rope","4","0.00426569697575659"
"4","belmont","4","0.00426569697575659"
"4","mart","4","0.00398181102277491"
"4","marks","4","0.00369792506979323"
"4","bought","4","0.00369792506979323"
"4","forfeit","4","0.00369792506979323"
"4","hazard","4","0.00369792506979323"
"4","buy","4","0.00341403911681156"
"4","lock","4","0.00341403911681156"
"4","aboard","4","0.00341403911681156"
"4","prodigal","4","0.00341403911681156"
"4","vienna","4","0.00341403911681156"
"4","morocco","4","0.00341403911681156"
"4","sell","4","0.00313015316382988"
"4","goldsmith","4","0.00313015316382988"
"4","laws","4","0.00313015316382988"
"4","thieves","4","0.00313015316382988"
"4","chooseth","4","0.00313015316382988"
"4","dog","4","0.0028462672108482"
"4","judgment","4","0.0028462672108482"
"4","seal","4","0.0028462672108482"
"4","slave","4","0.0028462672108482"
"4","debt","4","0.0028462672108482"
"4","penalty","4","0.0028462672108482"
"4","sold","4","0.0028462672108482"
"4","respected","4","0.0028462672108482"
"5","love","5","0.140554149111525"
"5","sweet","5","0.0507717444537231"
"5","fair","5","0.0487819396493527"
"5","faith","5","0.0171862512405629"
"5","wit","5","0.0167038743182913"
"5","youth","5","0.0164626858571555"
"5","speed","5","0.0148949608597728"
"5","letter","5","0.0138699098999457"
"5","play","5","0.0125433733636988"
"5","lov","5","0.00958881471478525"
"5","hate","5","0.0092873291383655"
"5","sake","5","0.00874465510080995"
"5","music","5","0.00790049548683465"
"5","sing","5","0.00753871279513095"
"5","write","5","0.0066342560658717"
"5","woo","5","0.00645336472001985"
"5","wear","5","0.00633277048945195"
"5","cross","5","0.0059106906824643"
"5","base","5","0.0059106906824643"
"5","loving","5","0.0057900964518964"
"5","excellent","5","0.0054283137601927"
"5","longer","5","0.0051871252990569"
"5","hair","5","0.00500623395320505"
"5","excuse","5","0.00488563972263715"
"5","vow","5","0.00488563972263715"
"5","match","5","0.00476504549206925"
"5","scorn","5","0.0047047483767853"
"5","fools","5","0.0045841541462174"
"5","passion","5","0.0044635599156495"
"5","troth","5","0.00440326280036555"
"5","lover","5","0.00428266856979765"
"5","plain","5","0.00428266856979765"
"5","song","5","0.0042223714545137"
"5","heavenly","5","0.00416207433922975"
"5","oath","5","0.0039811829933779"
"5","forsworn","5","0.00386058876281"
"5","argument","5","0.00386058876281"
"5","lovers","5","0.00386058876281"
"5","spend","5","0.00380029164752605"
"5","fancy","5","0.0036194003016742"
"5","affection","5","0.0034988060711063"
"5","ladies","5","0.00343850895582235"
"5","dog","5","0.00343850895582235"
"5","wits","5","0.0033782118405384"
"5","jove","5","0.0033782118405384"
"5","vows","5","0.0033782118405384"
"5","tune","5","0.00331791472525445"
"5","count","5","0.0032576176099705"
"5","vouchsafe","5","0.00319732049468655"
"5","constant","5","0.0031370233794026"
"6","fight","6","0.0258103343981623"
"6","soldier","6","0.0228358470975698"
"6","arms","6","0.0191614804321319"
"6","war","6","0.0188990256703149"
"6","soldiers","6","0.0180241764642583"
"6","field","6","0.0159245383697224"
"6","fly","6","0.0129500510691299"
"6","sword","6","0.0121626867836789"
"6","horse","6","0.0118127471012562"
"6","valiant","6","0.0116377772600449"
"6","march","6","0.0111128677364109"
"6","battle","6","0.0101505336097487"
"6","brave","6","0.010063048689143"
"6","messenger","6","0.00936316932429769"
"6","arm","6","0.00822586535642407"
"6","army","6","0.00813838043581841"
"6","trumpet","6","0.00813838043581841"
"6","valour","6","0.00743850107097311"
"6","kings","6","0.00708856138855046"
"6","camp","6","0.00682610662673347"
"6","alarum","6","0.00682610662673347"
"6","walls","6","0.00665113678552214"
"6","join","6","0.00630119710309949"
"6","wars","6","0.00612622726188817"
"6","slain","6","0.0060387423412825"
"6","tent","6","0.00595125742067684"
"6","forces","6","0.00577628757946552"
"6","gates","6","0.00551383281764853"
"6","drum","6","0.0053388629764372"
"6","courage","6","0.0053388629764372"
"6","trumpets","6","0.0053388629764372"
"6","lion","6","0.00525137805583154"
"6","town","6","0.00525137805583154"
"6","fought","6","0.00490143837340889"
"6","foes","6","0.00490143837340889"
"6","english","6","0.00490143837340889"
"6","armour","6","0.00455149869098624"
"6","city","6","0.00446401377038057"
"6","saint","6","0.00446401377038057"
"6","guard","6","0.00446401377038057"
"6","colours","6","0.00437652884977491"
"6","victory","6","0.00428904392916925"
"6","herald","6","0.00420155900856359"
"6","swords","6","0.00411407408795792"
"6","fame","6","0.00402658916735226"
"6","armed","6","0.00402658916735226"
"6","country","6","0.00402658916735226"
"6","wounds","6","0.00385161932614093"
"6","plain","6","0.00376413440553527"
"6","safe","6","0.00358916456432395"
"7","gods","7","0.0212080754228406"
"7","gold","7","0.0208360890694642"
"7","ladies","7","0.0174882118890763"
"7","lordship","7","0.0169302323590117"
"7","lords","7","0.0154422869455059"
"7","rich","7","0.0135823551786238"
"7","honourable","7","0.0109784507049888"
"7","worth","7","0.0104204711749241"
"7","attending","7","0.00911851893810664"
"7","wealth","7","0.00893252576141842"
"7","chamber","7","0.00856053940804199"
"7","maid","7","0.0074445803479127"
"7","shakespeare","7","0.00725858717122449"
"7","jewel","7","0.00688660081784806"
"7","perform","7","0.00688660081784806"
"7","stranger","7","0.00670060764115984"
"7","dance","7","0.0061426281110952"
"7","gifts","7","0.00558464858103055"
"7","servants","7","0.00521266222765412"
